DMU,efficiency,AG,EN,CH,CS,IN,MF,DS1,DS2,DE,DMU,AG,EN,CH,CS,IN,MF,DS1,DS2,DE,,,DMU,AG,EN,CH,CS,IN,MF,DS1,DS2,DE,,,,,,,,,,,,
44,0.75,0,0,0.111,0,0,0,0.062,0,0,44,24,18,9,9,21,24,12,12,0,,,44,0.000%,0.000%,100.000%,0.000%,0.000%,0.000%,100.000%,0.000%,0.000%,,,,,,,,,,,,
45,0.75,0,0,0.111,0,0,0,0.062,0,0,45,24,18,9,9,21,24,12,12,0,,,45,0.000%,0.000%,100.000%,0.000%,0.000%,0.000%,100.000%,0.000%,0.000%,,,,,,,,,,,,
46,0.75,0,0,0.111,0,0,0,0.062,0,0,46,24,18,9,9,21,24,12,12,0,,,46,0.000%,0.000%,100.000%,0.000%,0.000%,0.000%,100.000%,0.000%,0.000%,,,,,,,,,,,,
47,0.75,0,0,0.111,0,0,0,0.062,0,0,47,24,18,9,9,21,24,12,12,0,,,47,0.000%,0.000%,100.000%,0.000%,0.000%,0.000%,100.000%,0.000%,0.000%,,,,,,,,,,,,
48,0.75,0,0,0.111,0,0,0,0.063,0,0,48,26,18,9,9,21,25,12,12,0.08,,,48,0.000%,0.000%,100.000%,0.000%,0.000%,0.000%,100.000%,0.000%,0.000%,,,,,,,,,,,,
49,0.75,0,0,0.111,0,0,0,0.062,0,0,49,24,18,9,9,21,24,12,12,0,,,49,0.000%,0.000%,100.000%,0.000%,0.000%,0.000%,100.000%,0.000%,0.000%,,,,,,,,,,,,
50,0.75,0,0,0.111,0,0,0,0.062,0,0,50,24,18,9,9,21,24,12,12,0,,,50,0.000%,0.000%,100.000%,0.000%,0.000%,0.000%,100.000%,0.000%,0.000%,,,,,,,,,,,,
51,0.75,0,0,0.111,0,0,0,0.062,0,0,51,24,18,9,9,21,24,12,12,0,,,51,0.000%,0.000%,100.000%,0.000%,0.000%,0.000%,100.000%,0.000%,0.000%,,,,,,,,,,,,
52,0.75,0,0,0.111,0,0,0,0.062,0,0,52,24,18,9,9,21,24,12,12,0,,,52,0.000%,0.000%,100.000%,0.000%,0.000%,0.000%,100.000%,0.000%,0.000%,,,,,,,,,,,,
53,0.75,0,0,0.111,0,0,0,0.062,0,0,53,24,18,9,9,21,24,12,12,0,,,53,0.000%,0.000%,100.000%,0.000%,0.000%,0.000%,100.000%,0.000%,0.000%,,,,,,,,,,,,
